id_election;annee;type_election;tour;code_departement;libelle_departement;code_commune;libelle_commune;inscrits;abstentions;votants;nuls;exprimes;taux_participation;taux_abstention;taux_nuls_inscrits;taux_exprimes_inscrits
2014_euro_t1;2014;euro;1;69;Rhône;69181;Saint-Appolinaire;138;70;68;2;66;49.28;50.72;1.45;47.83
2014_euro_t1;2014;euro;1;69;Rhône;69182;Saint-Bonnet-Des-Bruyères;325;179;146;12;134;44.92;55.08;3.69;41.23
2014_euro_t1;2014;euro;1;69;Rhône;69183;Saint-Bonnet-Le-Troncy;253;121;132;5;127;52.17;47.83;1.98;50.2
2014_euro_t1;2014;euro;1;69;Rhône;69184;Sainte-Catherine;685;376;309;9;300;45.11;54.89;1.31;43.8
2014_euro_t1;2014;euro;1;69;Rhône;69185;Saint-Christophe-La-Montagne;205;110;95;1;94;46.34;53.66;0.49;45.85
2014_euro_t1;2014;euro;1;69;Rhône;69186;Saint-Clément-De-Vers;200;90;110;10;100;55.0;45.0;5.0;50.0
2014_euro_t1;2014;euro;1;69;Rhône;69187;Saint-Clément-Les-Places;452;234;218;7;211;48.23;51.77;1.55;46.68
2014_euro_t1;2014;euro;1;69;Rhône;69188;Saint-Clément-Sous-Valsonne;514;277;237;6;231;46.11;53.89;1.17;44.94
2014_euro_t1;2014;euro;1;69;Rhône;69189;Sainte-Colombe;1314;668;646;21;625;49.16;50.84;1.6;47.56
2014_euro_t1;2014;euro;1;69;Rhône;69190;Sainte-Consorce;1562;796;766;20;746;49.04;50.96;1.28;47.76
2014_euro_t1;2014;euro;1;69;Rhône;69191;Saint-Cyr-Au-Mont-D'Or;4421;2301;2120;23;2097;47.95;52.05;0.52;47.43
2014_euro_t1;2014;euro;1;69;Rhône;69192;Saint-Cyr-Le-Chatoux;107;32;75;3;72;70.09;29.91;2.8;67.29
2014_euro_t1;2014;euro;1;69;Rhône;69193;Saint-Cyr-Sur-Le-Rhône;997;489;508;14;494;50.95;49.05;1.4;49.55
2014_euro_t1;2014;euro;1;69;Rhône;69194;Saint-Didier-Au-Mont-D'Or;5185;2374;2811;37;2774;54.21;45.79;0.71;53.5
2014_euro_t1;2014;euro;1;69;Rhône;69195;Saint-Didier-Sous-Riverie;920;497;423;15;408;45.98;54.02;1.63;44.35
2014_euro_t1;2014;euro;1;69;Rhône;69196;Saint-Didier-Sur-Beaujeu;439;273;166;9;157;37.81;62.19;2.05;35.76
