code_commune;actifs_2022;chomeurs_2022;actifs_occupes_2022;inactifs_2022;taux_chomage_2022
69033;1486.21172204065;84.0431618924391;1402.16856014821;399.431131140904;5.65
69034;20996.5455978227;1896.8189632959;19099.7266345268;5354.29513337104;9.03
69035;203.505128579945;9.3824370296919;194.122691550253;48.4696705046812;4.61
69036;555.737825199228;35.9466413194455;519.791183879782;159.141468844862;6.47
69037;422.827534505045;32.6280750754438;390.199459429601;94.7929271894576;7.72
69038;461.333398546155;32.6559203337542;428.677478212401;108.167431033044;7.08
69039;352.172885718147;20.8364997354397;331.336385982707;80.8679682854111;5.92
69040;2909.67899978308;258.183792183617;2651.49520759946;792.381302099607;8.87
69042;314.922841238861;9.95464535542694;304.968195883434;75.3769610620846;3.16
69043;4141.54060693686;281.811976485399;3859.72863045146;1216.26925414244;6.8
69044;2324.12616417483;201.525649934547;2122.60051424028;759.870862450426;8.67
69045;664.815348935632;35.3776703610479;629.437678574584;140.638087538944;5.32
69046;2137.77443766575;155.722774064023;1982.05166360172;609.352506401062;7.28
69047;458.890711790011;21.1122003726579;437.778511417353;85.8637992077832;4.6
69049;1321.33274006024;68.1758386200067;1253.15690144023;315.14505375617;5.16
69050;1074.98788838332;59.5963768205593;1015.39151156276;251.834365188742;5.54
69051;642.919855258466;43.5339728444537;599.385882414012;128.581335799189;6.77
69052;2020.98907575567;142.410845719577;1878.5782300361;517.357431388682;7.05
69053;274.781372637099;19.569735418002;255.211637219097;57.9273832971176;7.12
69054;183.724715255736;4.19197277579645;179.53274247994;42.2599466835391;2.28
69055;748.571771765901;51.7762438640228;696.795527901878;165.135986892205;6.92
69056;1069.0;55.0;1014.0;208.0;5.14
69057;294.023921665531;17.1014631036348;276.922458561896;61.4102589063073;5.82
69058;216.52901949448;6.74964305149714;209.779376442983;39.4356848639749;3.12
69059;850.204503919849;54.6354388655722;795.569065054277;180.282717605306;6.43
69060;279.737696153961;20.3253333424554;259.412362811505;60.7497289419953;7.27
69061;575.885145823635;24.1697746506578;551.715371172977;138.636934785197;4.2
69062;408.269107055955;31.7313872169688;376.537719838986;89.7903365807701;7.77
69063;2129.45107622122;152.247548032084;1977.20352818913;633.500645318597;7.15
69064;1723.83683707016;153.991920273452;1569.84491679671;517.059858363151;8.93
69065;498.269369493027;23.8225086211445;474.446860871882;102.200472803287;4.78
69066;1780.43672554706;197.402095299206;1583.03463024786;538.039466520311;11.09
69067;600.928103282974;37.4172748933175;563.510828389656;101.77731838716;6.23
69068;1230.1648738342;96.4890728710426;1133.67580096315;314.322202762655;7.84
69069;5674.02091369583;398.249931905601;5275.77098179023;1560.79631871599;7.02
69070;639.0;48.0;591.0;171.0;7.51
69071;617.86996906686;37.1669901334366;580.702978933424;145.348089498006;6.02
69072;4010.82772909897;325.282053660962;3685.54567543801;1481.0347113053;8.11
69074;787.757046533415;45.250557072685;742.50648946073;186.204524655052;5.74
69075;91.5979899497488;5.90954773869347;85.6884422110553;23.6381909547739;6.45
69076;1206.36400263377;74.3227772313939;1132.04122540237;372.001422234239;6.16
69077;597.0;24.0;573.0;132.0;4.02
69078;434.0;14.0;420.0;87.0;3.23
69080;961.0;51.0;910.0;202.0;5.31
69081;7261.97004984128;727.566266570921;6534.40378327036;3491.51360328523;10.02
69082;152.01938941663;7.34150388565287;144.677885530977;22.2108917443165;4.83
69083;534.245726880951;44.2084055700336;490.037321310917;207.156907708054;8.27
69084;701.04509475218;40.0551310013634;660.989963750817;115.642849246163;5.71
69085;762.760542665565;41.3884659965007;721.372076669064;202.851812180153;5.43
69086;1096.84001007207;68.9141851561324;1027.92582491594;310.021775527997;6.28
69087;1377.69292748334;118.56899040844;1259.1239370749;426.982041480001;8.61
69088;3325.6664096578;339.267331936585;2986.39907772122;860.975357402433;10.2
69089;7165.83414550775;719.290004468784;6446.54414103896;2383.8988597662;10.04
69090;391.0;16.0;375.0;111.0;4.09
69091;8827.66950519212;1597.88930845823;7229.78019673389;3799.62501517354;18.1
69092;3372.12447005882;356.372604911032;3015.75186514779;1088.58995183785;10.57
69093;525.482416700613;50.1628011075688;475.319615593045;138.161855322703;9.55
69094;3061.00157580575;191.21464012223;2869.78693568352;715.140756253375;6.25
69095;442.064340010247;15.505110231996;426.559229778251;97.995241681992;3.51
69096;4608.72940255571;404.235748763694;4204.49365379202;1705.30883465504;8.77
