code_commune;population_2022;population_2016;nb_logements_2022;nb_logements_2016;nb_residences_principales_2022;nb_residences_principales_2016;nb_logements_vacants_2022;nb_logements_vacants_2016;superficie_km2;densite_2022;densite_2016
69168;1546;1518;648.987302916509;614.548123980427;595.500319761838;572.000000000003;46.4226646248086;30.3915171288744;1.29;1198.45;1176.74
69169;650;631;364.179233541873;355.211189624055;275.664727413538;263.81903276131;24.9656299336328;40.2911659287371;22.92;28.36;27.53
69170;1167;1176;522.638292440357;508.262671036395;482.612167642762;464.530120481927;18.901225598864;25.1229545738435;12.67;92.11;92.82
69171;2568;2299;1240.0;1126.0;1146.0;986.0;78.0;110.0;3.68;697.83;624.73
69172;789;809;388.960593123483;379.063009730579;326.536698520929;326.530401034927;41.3099302516899;22.6433658170915;4.35;181.38;185.98
69173;979;995;472.780412223363;459.711670413081;439.369118178126;389.999999932532;14.1744883828282;51.2585812356979;9.99;98.0;99.6
69174;621;628;279.68719374696;275.486970721567;248.948347298077;234.770737759981;12.2955385795534;18.8684982017106;12.55;49.48;50.04
69175;1970;2017;947.439119238593;903.664429530177;859.53795974558;808.999999999976;55.1937513095663;55.9843400447427;21.42;91.97;94.16
69176;4652;4473;1952.79600553136;1833.52744977335;1786.85711293518;1686.97604790419;150.6801438517;129.038970199259;14.2;327.61;315.0
69177;2098;2013;902.389261303529;854.293961856761;833.29566082506;781.538989700834;41.6755050505051;50.9284805091488;9.96;210.64;202.11
69178;767;808;379.0;362.0;332.0;322.0;28.0;21.0;5.09;150.69;158.74
69179;4198;3973;1753.82576366202;1620.79708152762;1665.01594712332;1538.35192307692;73.8523737532317;63.2139006835128;24.85;168.93;159.88
69180;274;284;135.409048250089;128.597883597884;119.07434495497;109.0;3.26694065902372;5.15733778891674;4.77;57.44;59.54
69181;235;207;126.758701948589;113.855659950529;84.6219019485892;71.4696950382482;15.1260307692307;19.7144022847817;5.73;41.01;36.13
69182;372;356;274.0;268.0;187.0;167.0;27.0;39.0;21.2;17.55;16.79
69183;311;310;231.444264869096;231.930879775674;141.444264869096;137.88643533123;26.1627906976744;31.6888888888889;15.65;19.87;19.81
69184;981;988;489.196385251209;464.000000000003;428.826775394946;399.000000000003;41.252566735113;40.0;13.76;71.29;71.8
69186;205;227;147.738132135549;148.370643672686;82.1332832923239;91.0052590573017;20.8742700864808;14.0897435897436;8.96;22.88;25.33
69187;669;638;334.774445112905;315.737071441582;283.266212019898;266.908242612753;37.587089013816;35.1224909119646;12.42;53.86;51.37
69188;904;903;397.45722682961;378.695652171021;335.428311166959;309.999999997108;38.6409638554215;32.3273657289003;14.51;62.3;62.23
69189;1994;1932;1252.96593337634;1174.66505235424;1074.88552966658;994.501690692294;141.520850630278;142.5020939699;1.6;1246.25;1207.5
69190;2109;1923;915.560392300629;801.984531247069;862.169335320327;760.941717791411;42.5151009287586;25.9658615739874;5.81;362.99;330.98
69191;6113;5545;2957.41385676639;2392.1463295348;2464.93420612221;2111.34189287397;327.183712538694;223.180073437271;7.29;838.55;760.63
69192;156;141;68.264015465341;64.3785714285715;59.1372549019608;53.3785714285715;3.04225352112675;6.0;6.28;24.84;22.45
69193;1273;1324;547.293218888038;515.744376278119;497.071181813297;487.0;46.1222789461906;21.558282208589;6.02;211.46;219.93
69194;7405;6650;3157.0;2786.0;2942.0;2545.0;125.0;194.0;8.34;887.89;797.36
69196;603;616;301.749274434723;298.764119601108;261.498238586263;251.999999999779;13.0815866507492;15.2491694352159;14.62;41.24;42.13
69197;2236;2191;988.896785089763;926.924037460984;894.18699398922;852.000000000006;68.2317849864133;43.5369406867846;9.66;231.47;226.81
69198;783;743;363.728972101842;348.268421052633;316.470265634181;297.000000000001;29.7935323383082;38.2;6.96;112.5;106.75
69199;19549;18566;8168.32639985014;7852.02110213727;7673.76843683545;7292.74574040515;434.42538762459;522.28049163187;6.06;3225.91;3063.7
69200;1538;1493;751.0;712.0;653.0;618.0;62.0;64.0;22.27;69.06;67.04
69201;1292;1286;769.964053104515;744.198709677364;663.693989410247;666.999999999945;90.2292993630576;60.1548387096774;1.54;838.96;835.06
69202;21893;21995;10788.1474102924;10324.8094141184;10033.1258955015;9620.3660567108;579.80023704497;552.486177576907;6.83;3205.42;3220.35
69203;986;1052;499.568016020388;520.156677198631;447.424971540501;454.243752028563;20.6399551066217;36.6182917611489;10.65;92.58;98.78
69204;21329;21545;9821.79844274237;9335.61738295064;9278.28174569545;8807.2688691329;403.536541959057;439.969461176606;12.92;1650.85;1667.57
69205;5370;4879;2225.72281804488;2019.16518804223;2108.18356983952;1908.98762426456;93.6153304290533;92.8769545894367;3.74;1435.83;1304.55
69206;4533;4363;2165.83679446407;1968.75324675327;1915.57684111534;1772.00000000002;201.250712484601;160.42957042957;27.49;164.9;158.71
69207;3037;3135;1353.78796758673;1333.76845375432;1285.48366254382;1232.99999998587;57.9551679151885;72.7195027195027;5.43;559.3;577.35
69208;2252;2267;951.843105386593;884.920178569682;877.519964346891;793.920178569682;33.0325071287565;54.0;8.54;263.7;265.46
69209;581;588;413.571807795567;416.238935867845;257.251587384405;260.752992092744;53.1087928319971;46.4438533354196;27.35;21.24;21.5
69212;472;408;214.82358685535;166.786096257348;199.547384243053;157.000000000664;8.14730805989172;5.8716577540107;2.57;183.66;158.75
69214;1175;1220;546.996768524483;527.140625000003;485.325685939114;453.000000000003;46.5060622774909;49.765625;15.48;75.9;78.81
69215;936;842;429.979378937139;395.078388859715;373.636578556986;332.310834380296;17.8647903644389;31.8982653911801;6.89;135.85;122.21
69216;605;562;303.205805554167;293.372685185185;256.863319017932;243.0;25.8655738806895;32.9359864672365;13.28;45.56;42.32
69217;743;752;457.795238233697;453.557734204792;338.5505124953;324.999999999999;31.3270042194093;38.1655773420479;17.5;42.46;42.97
69218;1051;1030;505.932909403324;487.492951640255;435.262121645808;417.302192564347;51.2107157663162;50.4187142657928;7.74;135.79;133.07
69219;2120;2134;961.49994997603;922.048140043764;884.64862614711;848.0;50.560081466395;46.2800875273523;10.55;200.95;202.27
69220;1950;1857;963.473604000059;889.198246274653;861.38458768668;787.141671351106;54.7281324566569;74.2229635807617;17.25;113.04;107.65
69225;568;509;256.601784962571;235.837096153285;232.339269134411;213.772939946869;5.30742533741004;5.51603905160391;11.88;47.81;42.85
69227;3917;3886;1916.5439342947;1798.27067709473;1696.39905094315;1600.2416152652;150.098784103327;115.671180975193;38.64;101.37;100.57
69228;4274;4174;1952.0;1800.46896551724;1772.0;1615.46896551724;132.0;116.0;34.87;122.57;119.7
69229;776;792;475.0;479.0;330.0;328.0;52.0;57.0;24.23;32.03;32.69
69230;330;332;164.481251450559;161.031411157993;137.605427341202;135.259259259259;12.940211608209;9.91236611489776;7.5;44.0;44.27
69231;2586;2636;1179.39417631487;1139.62717770036;1069.85519894689;1049.00000000001;91.2824811399831;74.5156794425087;7.53;343.43;350.07
69233;1241;1200;528.716122111365;508.403543307491;495.349455444699;467.000000000404;27.3;35.3444881889764;2.62;473.66;458.02
69234;1703;1558;782.0;736.0;685.0;626.0;49.0;56.0;17.02;100.06;91.54
69235;1990;1844;987.413073008515;905.396516241694;908.91229308029;814.387137578154;67.1617783830372;82.0366230206562;13.39;148.62;137.71
69236;598;581;252.942624465712;252.318725074008;240.896647454218;231.999999974406;9.03448275862067;14.2231075697211;4.05;147.65;143.46
69238;3749;3654;1995.71556610578;1906.45325210119;1761.63248657955;1646.95096899617;196.401413065908;234.096465178657;4.07;921.13;897.79
69239;1147;1176;578.0;561.0;490.0;468.0;46.0;46.0;17.58;65.24;66.89
69240;627;644;441.60280675541;455.535780714635;314.710961473321;305.644444444444;31.1664181394605;63.5301027900147;13.87;45.21;46.43
69241;2657;2530;1117.4048287005;1022.77253179295;1033.00014223877;961.819267188143;50.6428118770328;31.578197325384;8.09;328.43;312.73
69242;908;972;383.516888371796;366.064343138576;362.67961598361;341.999999975037;13.5442270523209;16.0428954423592;7.64;118.85;127.23
69243;10881;10532;5711.83822949229;5544.51717039433;4919.47594254093;4893.72867327673;739.066508357423;591.907776746851;13.99;777.77;752.82
69244;22819;22356;11663.1674792776;11031.146332841;10713.2775932834;10151.7921451406;603.407247680698;646.68676502846;7.79;2929.27;2869.83
69245;747;670;378.4983312596;341.175953072091;311.719417660557;280.999999992912;33.9194481772916;32.0938416422287;10.75;69.49;62.33
69246;1293;1205;599.740769254871;554.762498286733;514.725770901294;464.086838814311;33.8011439237113;37.3370362533503;11.89;108.75;101.35
69248;5794;6036;3460.0;3453.0;2539.0;2513.0;784.0;777.0;44.44;130.38;135.82
69249;3268;3032;1520.77706715243;1364.41971900804;1381.40524533184;1234.34419817471;101.270172689781;93.8890977443609;19.36;168.8;156.61
