code_commune;libelle_commune;annee;total_delits
69192;Saint-Cyr-le-Chatoux;2024;0.0
69193;Saint-Cyr-sur-le-Rhône;2017;19.0
69193;Saint-Cyr-sur-le-Rhône;2022;21.0
69193;Saint-Cyr-sur-le-Rhône;2024;19.0
69194;Saint-Didier-au-Mont-d'Or;2017;206.0
69194;Saint-Didier-au-Mont-d'Or;2022;256.0
69194;Saint-Didier-au-Mont-d'Or;2024;238.0
69196;Saint-Didier-sur-Beaujeu;2017;0.0
69196;Saint-Didier-sur-Beaujeu;2022;0.0
69196;Saint-Didier-sur-Beaujeu;2024;0.0
69197;Saint-Étienne-des-Oullières;2017;0.0
69197;Saint-Étienne-des-Oullières;2022;8.0
69197;Saint-Étienne-des-Oullières;2024;27.0
69198;Saint-Étienne-la-Varenne;2017;0.0
69198;Saint-Étienne-la-Varenne;2022;0.0
69198;Saint-Étienne-la-Varenne;2024;0.0
69199;Saint-Fons;2017;1062.0
69199;Saint-Fons;2022;1170.0
69199;Saint-Fons;2024;1150.0
69200;Saint-Forgeux;2017;0.0
69200;Saint-Forgeux;2022;12.0
69200;Saint-Forgeux;2024;13.0
69201;Sainte-Foy-l'Argentière;2017;14.0
69201;Sainte-Foy-l'Argentière;2022;5.0
69201;Sainte-Foy-l'Argentière;2024;12.0
69202;Sainte-Foy-lès-Lyon;2017;924.0
69202;Sainte-Foy-lès-Lyon;2022;844.0
69202;Sainte-Foy-lès-Lyon;2024;933.0
69203;Saint-Genis-l'Argentière;2017;0.0
69203;Saint-Genis-l'Argentière;2022;0.0
69203;Saint-Genis-l'Argentière;2024;0.0
69204;Saint-Genis-Laval;2017;899.0
69204;Saint-Genis-Laval;2022;990.0
69204;Saint-Genis-Laval;2024;1098.0
69205;Saint-Genis-les-Ollières;2017;89.0
69205;Saint-Genis-les-Ollières;2022;137.0
69205;Saint-Genis-les-Ollières;2024;166.0
69206;Saint-Georges-de-Reneins;2017;129.0
69206;Saint-Georges-de-Reneins;2022;144.0
69206;Saint-Georges-de-Reneins;2024;195.0
69207;Saint-Germain-au-Mont-d'Or;2017;101.0
69207;Saint-Germain-au-Mont-d'Or;2022;102.0
69207;Saint-Germain-au-Mont-d'Or;2024;130.0
69208;Saint-Germain-Nuelles;2017;5.0
69208;Saint-Germain-Nuelles;2022;18.0
69208;Saint-Germain-Nuelles;2024;32.0
69209;Saint-Igny-de-Vers;2017;0.0
69209;Saint-Igny-de-Vers;2022;0.0
69209;Saint-Igny-de-Vers;2024;0.0
69212;Saint-Jean-des-Vignes;2017;0.0
69212;Saint-Jean-des-Vignes;2022;0.0
69212;Saint-Jean-des-Vignes;2024;0.0
69214;Saint-Jean-la-Bussière;2017;81.0
69214;Saint-Jean-la-Bussière;2022;17.0
69214;Saint-Jean-la-Bussière;2024;27.0
69215;Saint-Julien;2017;0.0
69215;Saint-Julien;2022;5.0
69215;Saint-Julien;2024;0.0
69216;Saint-Julien-sur-Bibost;2017;0.0
69216;Saint-Julien-sur-Bibost;2022;0.0
69216;Saint-Julien-sur-Bibost;2024;0.0
69217;Saint-Just-d'Avray;2017;0.0
69217;Saint-Just-d'Avray;2022;0.0
69217;Saint-Just-d'Avray;2024;0.0
69218;Saint-Lager;2017;0.0
69218;Saint-Lager;2022;0.0
69218;Saint-Lager;2024;0.0
69219;Saint-Laurent-d'Agny;2017;48.0
69219;Saint-Laurent-d'Agny;2022;33.0
69219;Saint-Laurent-d'Agny;2024;47.0
69220;Saint-Laurent-de-Chamousset;2017;30.0
69220;Saint-Laurent-de-Chamousset;2022;38.0
69220;Saint-Laurent-de-Chamousset;2024;35.0
69225;Saint-Marcel-l'Éclairé;2017;0.0
69225;Saint-Marcel-l'Éclairé;2022;0.0
