id_election;annee;type_election;code_commune;libelle_commune;famille_gagnante;euro_centre_ratio;euro_divers_ratio;euro_droite_ratio;euro_extreme_droite_ratio;euro_extreme_gauche_ratio;euro_gauche_ratio;euro_gauche_radicale_ratio;euro_famille_gagnante;euro_taux_participation;euro_droite_souverainiste_ratio;euro_ecologie_ratio;population;nb_logements;nb_residences_principales;nb_logements_vacants;densite;superficie_km2;actifs_2022;chomeurs_2022;actifs_occupes_2022;inactifs_2022;taux_chomage_2022;revenu_median;taux_pauvrete;part_chomeurs;part_foyers_imposes;d1_revenu;d9_revenu;ratio_interdecile;nb_immigres;nb_non_immigres;total_delits;nb_menages;nb_personnes_menages
2017_legi_t1;2017;legi;69060;Claveisolles;Droite;9.57;4.26;38.3;30.85;0.0;13.83;3.19;Droite;43.57;;;664.0;376.85254691553;269.99999999864;32.2573726541555;23.44;28.33;279.737696153961;20.3253333424554;259.412362811505;60.7497289419953;7.27;20180.0;9.45;2.7;65.0;14235.0;41635.0;3.0;10;625;0.0;;
2017_legi_t1;2017;legi;69061;Cogny;Centre;9.55;2.01;32.66;38.44;1.51;12.81;3.02;Droite;47.54;;;1170.0;573.847826086959;470.000000000002;65.1594202898551;200.69;5.83;575.885145823635;24.1697746506578;551.715371172977;138.636934785197;4.2;25400.0;9.45;2.7;65.0;14235.0;41635.0;3.0;17;1150;0.0;;
2017_legi_t1;2017;legi;69062;Coise;Centre;16.3;6.52;40.94;27.17;0.0;6.88;2.17;Droite;48.36;;;765.0;320.225705329154;296.0;11.1034482758621;84.72;9.03;408.269107055955;31.7313872169688;376.537719838986;89.7903365807701;7.77;20360.0;9.45;2.7;65.0;14235.0;41635.0;3.0;13;756;0.0;;
2017_legi_t1;2017;legi;69063;Collonges-Au-Mont-D'Or;Centre;12.22;2.3;44.86;23.44;0.29;14.38;2.52;Droite;46.78;;;4054.0;1903.41430859584;1687.0;185.789642285104;1072.49;3.78;2129.45107622122;152.247548032084;1977.20352818913;633.500645318597;7.15;32080.0;5.0;2.6;75.0;15720.0;69430.0;4.4;249;3803;226.0;;
2017_legi_t1;2017;legi;69064;Condrieu;Centre;7.55;3.32;26.78;29.68;1.16;23.96;7.55;Droite;45.56;;;3877.0;1932.54861821906;1681.00000000002;196.995905834186;420.96;9.21;1723.83683707016;153.991920273452;1569.84491679671;517.059858363151;8.93;22110.0;10.0;2.9;55.0;12580.0;38330.0;3.0;238;3659;140.0;;
2017_legi_t1;2017;legi;69065;Corcelles-En-Beaujolais;Droite;8.66;3.61;27.44;50.9;0.72;6.5;2.17;Extreme droite;44.72;;;927.0;410.776691227202;368.038064262769;32.5185205164167;99.68;9.3;498.269369493027;23.8225086211445;474.446860871882;102.200472803287;4.78;22940.0;9.45;2.7;65.0;14235.0;41635.0;3.0;35;907;0.0;;
2017_legi_t1;2017;legi;69066;Cours-La-Ville;Droite;9.33;2.44;34.2;35.21;1.68;13.03;4.12;Extreme droite;45.23;;;4519.0;2785.83333333333;2102.83333333333;541.210312075984;133.66;33.81;1780.43672554706;197.402095299206;1583.03463024786;538.039466520311;11.09;19930.0;11.0;2.9;43.0;12240.0;33090.0;2.7;174;4275;64.0;;
2017_legi_t1;2017;legi;69067;Courzieu;Centre;12.61;4.87;31.52;34.67;1.43;12.32;2.58;Extreme droite;42.6;;;1094.0;577.508943572086;462.698774080561;77.8157815442561;40.46;27.04;600.928103282974;37.4172748933175;563.510828389656;101.77731838716;6.23;21140.0;9.45;2.7;65.0;14235.0;41635.0;3.0;39;1079;0.0;;
2017_legi_t1;2017;legi;69068;Couzon-Au-Mont-D'Or;Centre;14.13;3.56;26.96;29.45;0.95;19.48;5.46;Droite;49.8;;;2559.0;1146.05222816462;1043.41443288903;89.5186785862294;822.83;3.11;1230.1648738342;96.4890728710426;1133.67580096315;314.322202762655;7.84;25450.0;9.45;3.3;63.0;13460.0;45900.0;3.4;234;2282;83.0;;
2017_legi_t1;2017;legi;69069;Craponne;Centre;13.02;3.52;34.07;27.56;0.9;17.44;3.49;Droite;45.97;;;11158.0;5081.9038131377;4761.45395758673;271.234007428807;2415.15;4.62;5674.02091369583;398.249931905601;5275.77098179023;1560.79631871599;7.02;25200.0;7.0;2.8;66.0;14040.0;43340.0;3.1;638;10429;384.0;;
2017_legi_t1;2017;legi;69070;Cublize;Droite;9.67;5.44;25.68;42.9;2.42;10.88;3.02;Extreme droite;39.17;;;1268.0;650.0;525.0;58.0;81.49;15.56;639.0;48.0;591.0;171.0;7.51;21070.0;9.45;2.7;65.0;14235.0;41635.0;3.0;36;1230;17.0;;
2017_legi_t1;2017;legi;69071;Curis-Au-Mont-D'Or;Centre;15.04;3.51;34.34;30.08;0.75;12.78;3.51;Droite;52.77;;;1170.0;487.211618257262;453.000000000001;24.149377593361;386.14;3.03;617.86996906686;37.1669901334366;580.702978933424;145.348089498006;6.02;30270.0;9.45;2.7;65.0;14235.0;41635.0;3.0;64;1108;0.0;;
2017_legi_t1;2017;legi;69072;Dardilly;Centre;15.02;2.66;41.86;22.89;0.47;14.42;2.69;Droite;48.27;;;8617.0;3586.32272069472;3263.00000000007;220.584659913169;615.94;13.99;4010.82772909897;325.282053660962;3685.54567543801;1481.0347113053;8.11;30510.0;5.0;2.5;73.0;15690.0;60000.0;3.8;527;8073;585.0;;
2017_legi_t1;2017;legi;69073;Dareizé;Droite;10.38;3.28;38.25;31.69;0.55;13.11;2.73;Droite;51.89;;;;;;;;;;;;;;;;;;;;;;;;;
